ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Predicted_Delay,Delay_Confidence_%
8812,B,Ship,6,1,189,3,medium,F,9,5316,0,No,44.5
8813,C,Ship,3,1,242,8,medium,F,8,5401,0,No,44.2
8814,F,Ship,4,2,265,4,medium,F,3,4120,1,No,48.4
8815,D,Ship,3,2,138,10,low,M,1,5721,1,No,41.4
8816,F,Ship,4,4,268,3,low,F,9,4118,1,Yes,53.0
8817,A,Ship,4,3,211,7,high,M,9,5652,1,No,43.6
8818,B,Ship,6,3,137,8,low,F,6,5992,1,Yes,56.0
8819,C,Ship,4,5,234,5,low,F,2,1087,1,No,48.5
8820,F,Ship,5,4,242,5,low,M,1,1571,1,No,48.1
8821,D,Ship,7,2,307,4,low,M,8,1551,0,No,47.2
8822,F,Ship,6,1,260,4,low,F,6,1766,0,No,45.7
8823,A,Ship,4,4,239,5,low,F,6,1239,0,No,46.2
8824,B,Ship,6,2,305,4,low,F,9,1567,0,No,45.4
8825,C,Ship,5,2,254,6,low,M,5,1885,0,No,46.5
8826,F,Ship,2,1,258,5,low,M,10,1221,1,Yes,54.9
8827,D,Ship,5,3,267,6,low,F,8,1421,1,No,46.6
8828,F,Ship,4,3,246,5,low,M,7,1134,0,No,47.2
8829,A,Ship,4,3,246,5,low,F,1,1673,1,No,48.6
8830,B,Ship,4,4,261,5,medium,F,2,1690,1,No,48.8
8831,C,Ship,5,5,239,5,low,M,6,1887,1,No,45.2
8832,F,Ship,5,5,245,5,low,M,5,1381,1,No,46.2
8833,D,Ship,5,1,237,5,medium,F,8,1150,1,No,46.3
8834,F,Ship,7,3,307,4,low,F,1,1589,1,No,49.3
8835,A,Ship,5,4,252,5,low,M,2,1847,1,No,48.2
8836,B,Ship,5,2,225,5,low,M,5,1015,0,No,43.4
8837,C,Ship,6,4,258,4,low,M,9,1104,0,No,46.3
8838,F,Ship,7,5,254,4,medium,F,6,1491,1,No,46.2
8839,D,Ship,5,1,232,5,low,M,6,1427,0,No,45.4
8840,F,Ship,7,1,255,4,medium,F,8,1088,1,No,47.5
8841,A,Ship,5,3,235,5,low,M,4,1990,0,No,47.3
8842,B,Ship,7,1,269,4,medium,M,4,1118,1,No,46.8
8843,C,Ship,3,1,211,3,medium,M,1,4889,1,No,44.9
8844,F,Ship,3,4,195,2,medium,F,10,4031,0,Yes,53.9
8845,D,Ship,4,5,208,2,low,M,1,4039,0,Yes,54.0
8846,F,Ship,3,5,176,2,medium,F,8,5597,1,No,42.7
8847,A,Ship,5,1,258,3,medium,F,8,5694,0,No,45.3
8848,B,Ship,4,3,224,3,medium,F,6,5054,1,No,43.4
8849,C,Ship,4,3,263,3,medium,M,3,4677,0,No,43.5
8850,F,Ship,3,5,203,10,medium,F,1,4996,0,No,39.3
8851,D,Ship,4,4,266,7,medium,M,3,5672,1,No,42.9
8852,F,Ship,6,3,189,3,medium,F,3,5062,0,No,45.5
8853,A,Ship,3,1,242,8,medium,M,4,4943,0,No,43.9
8854,B,Ship,4,2,265,4,medium,F,10,4575,1,No,40.7
8855,C,Ship,3,1,138,10,low,F,4,4496,1,No,42.7
8856,F,Ship,4,3,268,3,low,F,10,5998,0,No,42.8
8857,D,Ship,4,1,211,7,high,M,4,4476,1,No,42.6
8858,F,Ship,6,4,137,8,low,F,9,4374,1,No,43.0
8859,A,Ship,4,5,234,5,low,F,3,1469,1,No,48.4
8860,B,Ship,5,1,242,5,low,F,8,1815,0,No,46.1
8861,C,Ship,7,1,307,4,low,M,4,1371,1,No,46.7
8862,F,Ship,6,3,260,4,low,F,1,1775,0,No,48.3
8863,D,Ship,4,5,239,5,low,M,6,1336,0,No,46.2
8864,F,Ship,6,2,305,4,low,M,2,1196,0,No,48.3
8865,A,Ship,5,1,254,6,low,M,1,1021,0,No,45.4
8866,B,Ship,2,3,258,5,low,F,6,1727,0,Yes,53.4
8867,C,Ship,5,1,267,6,low,M,3,1803,0,No,48.3
8868,F,Ship,4,5,246,5,low,F,2,1024,1,No,47.3
8869,D,Ship,4,3,246,5,low,M,5,1395,0,No,47.0
8870,F,Ship,4,4,261,5,medium,F,2,1829,0,No,48.4
8871,A,Ship,5,3,239,5,low,M,10,1784,0,No,45.9
8872,B,Ship,5,5,245,5,low,M,10,1289,1,No,45.9
8873,C,Ship,5,3,237,5,medium,F,4,1567,0,No,46.2
8874,F,Ship,7,1,307,4,low,M,2,1983,0,No,48.5
8875,D,Ship,5,1,252,5,low,M,4,1308,0,No,46.3
8876,F,Ship,5,4,225,5,low,F,6,2000,0,Yes,57.4
8877,A,Ship,6,3,281,4,medium,F,8,1884,0,No,45.9
8878,B,Ship,6,5,269,4,medium,F,7,1249,1,No,46.4
8879,C,Road,4,1,271,5,medium,F,3,1328,0,No,48.3
8880,F,Road,5,2,239,5,medium,F,6,1310,1,No,45.5
8881,D,Road,7,5,308,4,medium,M,1,1477,1,No,49.0
8882,F,Road,6,1,256,4,low,F,7,1372,1,No,46.3
8883,A,Road,4,5,251,5,medium,F,7,1070,1,No,47.2
8884,B,Road,5,3,270,5,medium,M,9,1764,1,No,45.5
8885,C,Road,6,4,289,4,low,F,1,1656,0,No,48.3
8886,F,Road,6,4,253,4,medium,F,6,1961,0,No,44.9
8887,D,Road,7,3,305,4,medium,F,5,1198,0,No,46.8
8888,F,Road,3,4,219,6,low,F,2,1837,0,Yes,56.1
8889,A,Road,4,1,231,5,medium,F,10,1144,0,No,47.6
8890,B,Road,6,4,298,4,medium,F,8,1437,1,No,46.2
8891,C,Road,6,5,282,4,low,M,4,1035,0,No,46.5
8892,F,Road,5,3,240,5,low,M,4,1389,0,No,46.2
8893,D,Road,5,2,223,5,medium,F,6,1883,0,No,45.2
8894,F,Road,4,1,226,5,low,M,9,1530,0,No,46.4
8895,A,Road,5,5,253,5,low,F,4,1482,0,No,46.2
8896,B,Road,6,4,249,4,low,M,2,1516,0,No,48.4
8897,C,Road,6,4,294,4,medium,M,5,1174,0,No,46.4
8898,F,Road,5,1,225,5,low,M,2,1812,0,No,48.2
8899,D,Road,6,5,253,4,low,M,2,1893,1,No,48.1
8900,F,Road,5,1,236,5,medium,M,10,1961,0,No,45.2
8901,A,Flight,7,2,284,4,low,F,1,1085,1,No,49.3
8902,B,Flight,5,2,244,5,low,M,1,1875,1,No,47.8
8903,C,Flight,6,3,269,4,low,F,4,1948,1,No,46.3
8904,F,Flight,6,5,308,4,low,F,7,1078,0,No,46.5
8905,D,Flight,6,4,270,4,low,F,10,1698,0,No,45.9
8906,F,Flight,5,3,238,5,low,M,1,1871,1,No,48.0
8907,A,Flight,4,5,295,3,low,F,2,1693,0,Yes,82.2
8908,B,Flight,2,2,310,3,low,M,1,1549,1,Yes,83.5
8909,C,Flight,6,2,290,4,medium,M,1,1111,0,No,48.2
8910,F,Flight,7,2,288,4,high,M,4,1321,0,No,46.7
8911,D,Flight,6,5,299,4,low,M,2,1192,0,No,48.3
8912,F,Flight,6,5,243,4,low,F,6,1898,1,No,45.3
8913,A,Flight,5,3,229,5,low,F,1,1196,0,No,48.1
8914,B,Flight,6,2,288,4,medium,M,9,1405,1,No,45.4
8915,C,Flight,6,3,276,4,low,M,6,1670,1,No,45.7
8916,F,Flight,7,4,270,4,medium,F,5,1735,0,No,47.1
8917,D,Flight,4,3,246,5,medium,M,10,1646,1,No,47.7
8918,F,Flight,5,5,269,5,low,M,5,1742,0,No,46.4
8919,A,Flight,5,3,241,5,low,F,2,1834,1,No,48.2
8920,B,Flight,4,4,248,5,medium,M,2,1651,0,No,48.8
8921,C,Flight,6,2,271,4,medium,M,3,1636,0,No,48.1
8922,F,Flight,4,5,250,5,medium,M,6,1662,0,No,46.4
8923,D,Ship,5,5,229,5,medium,M,2,1975,1,No,47.1
8924,F,Ship,7,3,296,4,low,M,4,1392,0,No,46.7
8925,A,Ship,6,1,307,4,low,F,3,1977,0,No,46.8
8926,B,Ship,7,1,258,4,low,F,3,1482,0,No,48.3
8927,C,Ship,6,2,255,4,medium,F,3,1355,0,No,48.0
8928,F,Ship,5,3,163,3,medium,M,1,1836,0,Yes,80.5
8929,D,Ship,5,5,265,6,low,M,4,1937,1,No,46.8
8930,F,Ship,4,3,269,5,low,M,2,1273,1,No,48.5
8931,A,Ship,6,3,273,5,low,M,8,1746,1,No,46.3
8932,B,Ship,5,5,257,5,low,M,5,1657,0,No,46.4
8933,C,Ship,6,3,258,4,medium,M,9,1924,0,No,45.1
8934,F,Ship,5,3,140,5,medium,F,6,1823,0,No,45.5
8935,D,Ship,5,2,268,5,medium,F,2,1061,1,No,48.2
8936,F,Ship,6,4,279,4,low,F,5,1241,0,No,46.4
8937,A,Ship,4,3,225,5,medium,M,3,1224,0,No,48.3
8938,B,Ship,6,4,296,4,medium,M,5,1782,1,No,46.4
8939,C,Ship,5,3,162,4,low,F,6,1968,0,No,44.3
8940,F,Ship,4,3,208,3,medium,F,7,4525,1,No,43.3
8941,D,Ship,4,2,185,2,medium,F,3,5356,0,No,42.7
8942,F,Ship,4,4,270,2,medium,F,6,5221,0,No,42.6
8943,A,Ship,3,1,266,3,low,F,8,4574,0,No,43.1
8944,B,Ship,4,5,148,2,low,M,2,4883,1,No,43.3
8945,C,Ship,4,5,201,3,low,F,1,5898,1,No,45.7
8946,F,Ship,4,1,171,2,medium,F,1,5717,0,No,45.5
8947,D,Ship,4,3,236,3,low,M,1,4752,0,No,44.6
8948,F,Ship,4,4,220,3,low,F,4,5622,0,No,43.0
8949,A,Ship,4,2,161,4,low,F,9,4713,1,No,41.2
8950,B,Ship,5,1,241,3,low,M,7,5342,0,No,45.4
8951,C,Ship,5,4,208,2,low,M,9,4569,0,No,43.5
8952,F,Ship,6,5,150,3,medium,M,3,5747,0,No,45.7
8953,D,Ship,4,3,233,2,medium,F,3,4748,0,No,42.9
8954,F,Ship,2,2,98,5,medium,M,10,4368,0,No,39.9
8955,A,Ship,3,2,271,5,low,M,5,4880,0,No,42.1
8956,B,Ship,2,2,247,3,low,F,4,4686,1,No,41.7
8957,C,Ship,3,5,218,4,low,M,4,5330,0,No,41.5
8958,F,Ship,5,3,182,4,medium,M,5,4770,1,No,42.2
8959,D,Ship,4,2,261,2,medium,F,4,5926,1,No,43.1
8960,F,Ship,5,1,167,3,low,M,9,4660,0,No,44.9
8961,A,Ship,3,3,206,3,low,F,3,5746,1,No,45.0
8962,B,Ship,6,4,257,6,low,F,7,4265,0,No,42.9
8963,C,Ship,4,3,185,5,low,F,9,5648,0,No,42.0
8964,F,Ship,5,2,183,5,high,F,8,4820,0,No,42.7
8965,D,Ship,5,1,185,3,medium,F,7,4855,1,No,45.7
8966,F,Ship,3,5,178,3,low,F,7,4135,0,No,42.1
8967,A,Ship,4,4,258,3,high,M,10,4958,1,No,43.1
8968,B,Ship,4,1,238,4,medium,F,10,4860,0,No,40.6
8969,C,Ship,3,2,209,2,low,M,9,5203,0,No,42.1
8970,F,Ship,2,3,260,2,low,F,1,4547,0,No,41.0
8971,D,Ship,4,5,247,2,medium,F,9,4656,0,No,42.4
8972,F,Ship,3,3,261,3,low,M,2,5629,1,No,43.4
8973,A,Ship,4,5,243,4,low,F,1,5328,0,No,41.9
8974,B,Ship,5,1,160,4,medium,M,5,5841,0,No,41.2
8975,C,Ship,5,2,203,2,medium,F,2,4712,1,No,44.9
8976,F,Ship,3,5,220,4,low,F,5,5677,0,No,40.9
8977,D,Ship,3,2,233,3,medium,M,7,5838,0,No,42.6
8978,F,Ship,4,4,101,5,low,F,8,4192,0,No,40.5
8979,A,Ship,5,4,191,4,low,M,8,4566,1,No,42.1
8980,B,Ship,3,3,265,3,low,F,10,4093,1,Yes,50.9
8981,C,Ship,4,3,249,3,low,M,4,4811,0,No,43.4
8982,F,Ship,4,4,184,3,low,F,10,5705,1,No,43.4
8983,D,Ship,5,5,182,3,medium,F,10,5060,0,No,44.1
8984,F,Ship,5,5,198,2,high,M,3,5249,0,No,44.4
8985,A,Ship,3,1,110,4,medium,F,6,5474,1,No,41.2
8986,B,Ship,4,3,268,2,low,F,4,5280,1,No,42.8
8987,C,Ship,4,3,146,3,medium,F,10,5372,0,No,43.2
8988,F,Ship,5,2,235,2,low,F,10,4938,0,No,43.2
8989,D,Ship,5,2,270,3,low,M,3,5266,1,No,45.2
8990,F,Ship,4,4,174,2,low,F,1,4541,1,No,44.1
8991,A,Ship,4,2,239,4,low,F,10,5528,1,No,40.5
8992,B,Ship,3,4,236,4,high,F,9,4744,0,No,41.7
8993,C,Ship,4,5,162,2,medium,F,9,5345,1,No,42.4
8994,F,Ship,3,4,260,3,low,F,8,5215,0,No,43.6
8995,D,Ship,3,1,217,3,low,F,1,4177,1,No,46.5
8996,F,Ship,5,3,232,3,medium,M,3,4526,0,No,45.4
8997,A,Ship,4,5,260,3,medium,F,6,4221,0,No,44.5
8998,B,Ship,4,2,184,3,medium,F,5,5931,1,No,43.2
8999,C,Ship,5,4,145,4,low,M,4,4790,0,No,42.0
9000,F,Ship,5,1,189,2,medium,M,10,5248,0,No,43.2
9001,D,Ship,5,3,150,2,high,F,9,4446,0,No,43.8
9002,F,Ship,3,3,200,3,low,M,3,5739,0,No,45.0
9003,A,Ship,5,1,133,2,medium,M,1,4643,0,No,46.2
9004,B,Ship,4,2,260,3,low,M,4,5504,1,No,43.1
9005,C,Ship,4,2,195,2,medium,M,10,4640,0,No,42.3
9006,F,Ship,4,3,245,4,medium,M,4,5940,0,No,46.2
9007,D,Ship,6,3,166,4,low,M,10,5783,1,No,41.1
9008,F,Ship,3,5,245,4,low,M,8,5600,0,No,42.4
9009,A,Ship,6,2,130,5,low,M,3,5654,0,No,43.3
9010,B,Ship,3,5,204,4,low,M,6,4879,1,No,41.2
9011,C,Ship,4,2,210,3,low,M,8,5672,1,No,43.6
9012,F,Ship,3,5,264,4,medium,F,8,4324,0,No,42.0
9013,D,Ship,5,2,141,2,medium,F,1,4287,0,No,45.7
9014,F,Ship,3,5,162,3,medium,F,1,4432,0,No,44.8
9015,A,Ship,4,5,137,2,low,M,6,4055,1,Yes,53.7
9016,B,Road,4,3,141,2,low,F,8,4331,0,No,42.5
9017,C,Road,6,3,127,3,medium,F,7,5574,1,No,45.6
9018,F,Road,2,2,270,4,low,M,6,5585,0,No,39.7
9019,D,Road,3,4,185,4,medium,F,6,5322,0,No,41.2
9020,F,Road,4,1,241,3,low,M,6,5836,0,No,42.4
9021,A,Road,3,2,124,5,medium,M,10,5348,0,No,41.1
9022,B,Road,3,4,228,4,medium,M,6,4947,0,No,41.2
9023,C,Road,5,4,140,3,medium,M,4,4623,0,No,45.1
9024,F,Road,6,3,192,4,low,M,9,5239,1,No,41.9
9025,D,Road,4,2,253,5,low,F,3,4676,1,No,41.4
9026,F,Road,3,4,287,5,medium,F,9,5308,0,No,42.0
9027,A,Road,3,4,162,5,low,F,1,4240,1,No,42.7
9028,B,Road,3,4,156,3,low,M,4,4628,0,No,43.4
9029,C,Road,4,3,187,4,low,M,4,4757,0,No,41.5
9030,F,Road,6,3,171,3,low,F,1,4952,0,No,46.4
9031,D,Road,6,2,240,6,low,M,3,5967,1,No,45.1
9032,F,Road,3,3,250,4,medium,M,1,4717,0,No,42.4
9033,A,Road,4,5,180,4,high,F,10,5176,1,No,40.7
9034,B,Road,3,1,242,4,low,M,10,4809,1,No,40.6
9035,C,Road,3,1,162,4,medium,F,4,5683,0,No,40.5
9036,F,Road,5,5,210,3,medium,M,8,5906,1,No,45.3
9037,D,Road,4,1,189,2,medium,M,4,4122,0,No,47.3
9038,F,Flight,4,5,187,2,low,M,6,4316,1,No,43.9
9039,A,Flight,4,1,179,2,medium,F,7,4605,0,No,42.1
9040,B,Flight,2,1,199,2,low,F,10,5345,0,No,41.9
9041,C,Flight,5,1,158,4,medium,F,4,5687,1,No,41.5
9042,F,Flight,3,4,181,3,low,M,10,5276,1,No,43.2
9043,D,Flight,3,5,238,2,low,F,8,5769,0,No,44.5
9044,F,Flight,5,5,225,4,high,F,3,5274,1,No,42.1
9045,A,Flight,5,1,172,2,medium,F,3,4892,0,No,44.5
9046,B,Flight,4,2,199,3,low,M,4,4070,0,Yes,50.4
9047,C,Flight,4,4,248,3,high,F,10,4532,0,No,42.9
9048,F,Flight,3,2,226,3,low,F,5,5484,0,No,43.2
9049,D,Flight,4,1,177,3,medium,F,6,5215,0,No,43.3
9050,F,Flight,3,4,238,2,low,M,5,4349,1,No,43.0
9051,A,Flight,4,5,161,3,low,F,5,4732,0,No,43.3
9052,B,Flight,2,1,271,3,low,M,1,4537,0,No,41.6
9053,C,Flight,5,2,254,3,medium,F,8,5892,1,No,44.8
9054,F,Flight,4,2,238,2,low,M,1,5229,0,No,44.5
9055,D,Flight,5,5,169,3,medium,M,2,5942,1,No,46.3
9056,F,Flight,3,3,168,2,high,M,10,5334,1,No,42.3
9057,A,Flight,2,5,243,3,high,M,7,4486,0,No,42.8
9058,B,Flight,4,5,195,3,medium,M,7,4835,0,No,43.5
9059,C,Flight,3,2,227,3,high,M,5,4167,1,No,44.6
9060,F,Ship,3,2,199,3,medium,F,10,5768,1,No,44.2
9061,D,Ship,3,2,160,3,low,F,7,4468,0,No,43.9
9062,F,Ship,2,2,160,6,medium,F,9,4972,1,No,42.6
9063,A,Ship,4,4,251,4,low,F,10,5984,0,No,38.6
9064,B,Ship,6,2,225,4,low,M,6,5787,1,No,42.7
9065,C,Ship,4,3,260,4,low,F,5,5307,0,No,41.1
9066,F,Ship,4,2,263,3,medium,M,4,4935,1,No,43.4
9067,D,Ship,5,5,196,3,medium,M,7,4084,1,Yes,53.6
9068,F,Ship,4,2,184,2,medium,F,10,5959,0,No,41.4
9069,A,Ship,5,5,231,2,medium,F,6,5862,0,No,42.8
9070,B,Ship,3,1,153,2,low,M,7,5292,1,No,42.6
9071,C,Ship,3,1,173,2,low,F,7,4684,0,No,42.8
9072,F,Ship,3,1,159,3,low,F,3,5044,0,No,43.6
9073,D,Ship,5,4,137,2,low,M,7,5338,1,No,44.4
9074,F,Ship,3,1,249,2,medium,M,9,5987,1,No,45.4
9075,A,Ship,3,5,247,3,medium,M,10,4286,1,No,43.9
9076,B,Ship,3,2,205,3,high,M,3,4563,1,No,43.2
9077,C,Ship,3,2,209,3,medium,M,5,4999,0,No,43.4
9078,F,Ship,3,2,247,2,high,M,1,4242,0,No,45.7
9079,D,Ship,4,3,225,2,medium,F,2,4169,1,No,43.9
9080,F,Ship,3,5,150,10,low,M,2,5042,0,No,41.1
9081,A,Ship,5,2,210,7,medium,F,4,4525,1,No,42.6
9082,B,Ship,3,2,247,2,low,F,2,4677,0,No,43.5
9083,C,Ship,5,5,167,3,medium,M,9,4319,1,No,46.6
9084,F,Ship,4,5,233,3,medium,F,7,5604,1,No,43.5
9085,D,Ship,2,5,204,10,low,F,1,4709,0,No,34.2
9086,F,Ship,5,5,140,8,medium,M,2,4793,1,No,44.0
9087,A,Ship,6,3,218,6,high,M,8,5879,0,No,42.2
9088,B,Ship,3,3,250,3,low,M,9,4993,0,No,43.2
9089,C,Ship,3,4,225,4,low,M,10,4460,1,No,40.8
9090,F,Ship,7,1,308,4,medium,F,2,1504,0,No,49.1
9091,D,Ship,6,5,256,4,low,F,2,1163,0,No,48.3
9092,F,Ship,4,3,251,5,medium,M,2,1482,0,No,48.7
9093,A,Ship,5,3,270,5,medium,F,8,1862,0,No,46.0
9094,B,Ship,6,5,289,4,low,M,5,1600,1,No,46.5
9095,C,Ship,6,3,253,4,medium,F,9,1823,0,No,45.4
9096,F,Ship,7,2,305,4,medium,M,7,1813,0,No,47.2
9097,D,Ship,3,3,219,6,low,M,10,1116,0,Yes,55.2
9098,F,Ship,4,2,231,5,medium,M,8,1562,0,No,47.0
9099,A,Ship,6,5,298,4,medium,F,5,1804,0,No,46.4
9100,B,Ship,6,5,282,4,low,M,5,1364,1,No,46.4
9101,C,Ship,5,1,240,5,low,M,2,1400,1,No,48.3
9102,F,Ship,5,3,223,5,medium,M,4,1817,0,No,46.3
9103,D,Ship,4,4,226,5,low,M,1,1761,0,No,48.5
9104,F,Ship,5,3,253,5,low,M,6,1028,0,No,45.0
9105,A,Ship,6,4,249,4,low,M,10,1318,0,No,45.8
9106,B,Ship,6,5,294,4,medium,M,10,1628,1,No,45.9
9107,C,Ship,4,4,263,3,medium,F,8,5475,0,No,43.6
9108,F,Ship,5,2,196,3,medium,M,4,4868,1,No,45.2
9109,D,Ship,4,5,184,2,medium,F,2,4429,0,No,43.3
9110,F,Ship,5,4,231,2,medium,F,7,5491,1,No,44.4
9111,A,Ship,3,1,153,2,low,M,6,4996,0,No,42.6
9112,B,Ship,3,2,173,2,low,F,8,5492,0,No,42.7
9113,C,Ship,3,1,159,3,low,M,10,4358,1,No,43.5
9114,F,Ship,5,4,137,2,low,F,2,4077,1,Yes,50.8
9115,D,Ship,3,1,249,2,medium,F,1,5190,1,No,44.6
9116,F,Ship,3,4,247,3,medium,M,9,5383,0,No,43.4
9117,A,Ship,3,3,205,3,high,M,1,5851,1,No,44.9
9118,B,Ship,3,3,209,3,medium,F,5,5831,0,No,42.3
9119,C,Ship,3,3,247,2,high,F,8,4593,1,No,42.1
9120,F,Ship,4,1,225,2,medium,M,5,5714,1,No,43.0
9121,D,Ship,3,2,150,10,low,F,6,5580,0,No,42.8
9122,F,Ship,5,3,210,7,medium,F,4,4362,0,No,43.1
9123,A,Ship,3,1,247,2,low,M,7,5557,0,No,42.6
9124,B,Ship,5,5,167,3,medium,M,1,4314,0,No,46.7
9125,C,Ship,4,5,233,3,medium,F,2,4501,0,No,43.8
9126,F,Ship,2,4,204,10,low,F,4,4679,1,No,41.5
9127,D,Ship,5,1,140,8,medium,M,7,5437,0,No,44.3
9128,F,Ship,6,3,218,6,high,F,5,4352,1,No,42.9
9129,A,Ship,3,1,250,3,low,F,7,4760,0,No,43.6
9130,B,Ship,3,1,225,4,low,F,10,4080,1,No,45.7
9131,C,Ship,7,5,308,4,medium,M,6,1165,0,No,46.0
9132,F,Ship,6,3,256,4,low,F,9,1212,1,No,45.8
9133,D,Ship,4,5,251,5,medium,F,7,1381,0,No,47.0
9134,F,Ship,5,1,270,5,medium,M,10,1397,0,No,45.8
9135,A,Ship,6,1,289,4,low,M,3,1181,1,No,47.9
9136,B,Ship,6,5,253,4,medium,M,8,1899,1,No,45.9
9137,C,Ship,7,3,305,4,medium,F,6,1167,0,No,46.0
9138,F,Ship,3,5,219,6,low,M,1,1394,0,Yes,55.2
9139,D,Ship,4,1,231,5,medium,M,6,1231,0,No,46.2
9140,F,Ship,6,5,298,4,medium,F,8,1759,1,No,46.3
9141,A,Ship,6,1,282,4,low,M,7,1758,0,No,46.4
9142,B,Ship,5,3,240,5,low,M,6,1489,0,No,45.4
9143,C,Ship,5,5,223,5,medium,M,8,1132,0,No,46.3
9144,F,Ship,5,2,140,5,medium,M,2,1521,0,No,48.3
9145,D,Ship,5,3,268,5,medium,M,5,1365,0,No,46.2
9146,F,Ship,6,3,279,4,low,M,7,1090,1,No,46.5
9147,A,Ship,4,3,225,5,medium,F,6,1573,0,No,46.2
9148,B,Ship,6,3,296,4,medium,M,7,1515,0,No,46.3
9149,C,Ship,5,5,162,4,low,M,8,1311,0,No,46.3
9150,F,Ship,6,5,255,4,low,F,2,1218,1,No,48.3
9151,D,Ship,7,5,255,4,low,F,9,1367,0,No,45.5
9152,F,Ship,6,2,286,4,medium,M,6,1556,1,No,45.6
9153,A,Road,7,2,267,4,medium,M,8,1285,0,No,47.0
9154,B,Road,5,1,226,6,low,M,5,1078,0,No,46.8
9155,C,Road,6,5,285,4,medium,F,5,1631,1,No,46.5
9156,F,Road,6,3,276,4,low,F,5,1637,1,No,46.5
9157,D,Road,6,2,257,4,low,F,5,1565,1,No,46.4
9158,F,Road,6,4,287,4,medium,F,10,1811,1,No,45.8
9159,A,Road,6,1,283,5,low,F,10,1304,1,No,45.8
9160,B,Road,6,3,309,4,medium,M,2,1270,1,No,48.3
9161,C,Road,4,3,274,5,low,F,3,1637,1,No,48.6
9162,F,Road,7,4,244,4,medium,F,4,1953,1,No,47.0
9163,D,Road,5,3,222,6,low,M,9,1656,0,No,46.1
9164,F,Road,6,1,264,4,low,M,5,1900,0,No,46.1
9165,A,Road,4,2,232,5,medium,M,3,1197,0,No,48.3
9166,B,Road,5,2,227,6,medium,F,6,1620,0,No,46.0
9167,C,Road,6,4,294,3,medium,M,7,1455,0,Yes,76.8
9168,F,Road,6,4,260,4,low,F,1,1883,0,No,47.9
9169,D,Road,4,3,260,5,low,F,8,1756,0,No,47.3
9170,F,Road,6,1,277,5,low,F,2,1190,1,No,48.2
9171,A,Road,5,3,257,5,low,F,7,1451,1,No,46.2
9172,B,Road,5,5,271,6,low,M,6,1450,1,No,45.9
9173,C,Road,6,1,308,4,low,F,7,1260,1,No,46.4
9174,F,Road,7,2,281,4,medium,F,2,1291,0,No,48.8
9175,D,Flight,5,4,307,5,low,M,8,1903,0,No,45.8
9176,F,Flight,5,3,224,5,medium,M,9,1643,1,No,45.6
9177,A,Flight,5,5,233,6,medium,F,4,1924,1,No,46.5
9178,B,Flight,3,4,179,2,medium,M,5,1340,0,Yes,83.1
9179,C,Flight,4,3,267,5,medium,F,9,1538,0,No,46.4
9180,F,Flight,5,3,218,6,low,F,6,1519,1,No,45.9
9181,D,Flight,7,3,302,4,medium,F,7,1915,0,No,47.0
9182,F,Flight,7,3,247,4,medium,M,5,1060,0,No,47.1
9183,A,Flight,6,3,266,4,medium,F,8,1547,0,No,46.2
9184,B,Flight,5,1,247,5,low,M,10,1562,1,No,45.8
9185,C,Flight,4,3,219,5,low,F,8,1702,1,No,47.4
9186,F,Flight,7,1,287,4,medium,M,9,1150,1,No,45.9
9187,D,Flight,6,3,297,5,low,F,5,1657,0,No,46.4
9188,F,Flight,5,5,273,5,medium,M,4,1597,1,No,46.4
9189,A,Flight,5,5,219,5,low,M,6,1234,0,No,45.5
9190,B,Flight,5,1,232,5,medium,F,7,1069,1,No,46.4
9191,C,Flight,4,4,264,5,low,M,3,1782,0,No,48.5
9192,F,Flight,6,3,266,4,low,F,9,1106,1,No,46.3
9193,D,Flight,7,1,280,5,low,M,10,1199,1,No,47.3
9194,F,Flight,7,4,264,4,medium,M,6,1265,0,No,46.0
9195,A,Flight,4,2,258,5,low,F,8,1878,0,No,46.7
9196,B,Flight,5,1,236,5,low,M,8,1441,0,No,46.1
9197,C,Ship,5,5,262,5,low,M,2,1304,0,No,48.2
9198,F,Ship,5,3,255,6,medium,F,1,5874,0,No,42.9
9199,D,Ship,4,4,267,4,low,F,8,5219,1,No,42.0
9200,F,Ship,4,1,240,4,low,M,10,5965,1,No,38.1
9201,A,Ship,4,2,215,2,high,F,10,4061,1,Yes,52.9
9202,B,Ship,5,5,252,5,low,M,9,4135,0,No,40.0
9203,C,Ship,4,5,136,2,medium,M,4,5512,0,No,42.6
9204,F,Ship,3,4,225,4,medium,F,9,5575,0,No,41.5
9205,D,Ship,3,3,187,6,low,F,2,4549,0,No,41.3
9206,F,Ship,4,4,144,3,low,M,6,4137,1,No,42.5
9207,A,Ship,3,2,226,2,low,M,10,4254,0,No,41.4
9208,B,Ship,5,2,229,3,low,F,3,4916,0,No,45.3
9209,C,Ship,3,3,255,3,low,M,4,4628,1,No,43.4
9210,F,Ship,5,3,227,5,medium,F,9,4990,0,No,41.7
9211,D,Ship,5,1,248,3,medium,M,6,5081,1,No,45.2
9212,F,Ship,3,2,151,2,low,F,3,4759,0,No,43.0
9213,A,Ship,4,5,188,3,medium,M,8,4125,0,No,48.1
9214,B,Ship,4,2,160,2,medium,M,3,4304,1,No,43.4
9215,C,Ship,4,2,156,3,low,F,1,5361,0,No,44.4
